;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;I.W.I;L.S;ITERATION;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;
MULTIBOOT;10;BN + TwoOpt;7;2;12;0;3;1365.5080342206584;23;33;14;20;1121.5113636573858;11;21;13;26;1506.4726397865074;7;17;6;17;2323.393441767856;8;18;12;27;2184.5069378375374;1;11;4;29;2934.0914388140636;
MULTIBOOT;10;BN + TwoOpt;8;2;12;1;5;1212.759730212627;23;33;15;21;1150.578450405168;9;19;12;25;1523.279281359082;8;18;13;26;2371.73113064746;6;16;8;29;2190.180972115224;2;12;8;43;2991.356927512218;
MULTIBOOT;10;BN + TwoOpt;9;5;15;1;4;1264.0026512276784;4;14;3;13;1140.9512576887078;6;16;5;18;1542.7683406816582;17;27;21;32;2335.589718368121;5;15;9;24;2221.5846691726215;4;14;16;39;3038.0115872855986;
MULTIBOOT;10;BN + TwoOpt;10;14;24;4;7;1237.3177988836317;13;23;10;18;1140.5860276208548;7;17;9;17;1509.3886948348759;6;16;7;22;2387.75844435026;11;21;18;38;2206.4160173579335;26;36;106;139;2902.5795778012807;
MULTIBOOT;10;FBN + Relocation;1;1;11;7;117;917.9639907376641;8;18;158;368;817.4445737425017;10;20;335;642;823.5188793054986;1;11;71;313;1841.183636558785;2;12;91;659;1544.8718777918227;2;12;271;1121;2130.2104815023436;
MULTIBOOT;10;FBN + Relocation;2;15;25;42;81;901.9740549062109;1;11;14;129;841.5351810097604;12;22;250;452;874.8468986988861;18;28;459;642;1835.295431817613;3;13;285;666;1508.095918944132;2;12;249;1113;2261.794521403934;
MULTIBOOT;10;FBN + Relocation;3;5;15;20;48;945.3824344691889;19;29;306;421;794.9613048074785;6;16;201;444;877.914369816408;14;24;320;511;1845.2053244322674;2;12;87;453;1657.5208197424856;5;15;552;1509;2153.3080257402125;
MULTIBOOT;10;FBN + Relocation;4;5;15;14;40;981.8341953905162;6;16;76;219;804.7519515812731;23;33;741;997;816.8293324826581;5;15;175;359;1806.9933291797254;4;14;142;598;1628.8692457050042;12;22;1281;2445;2062.08766437201;
MULTIBOOT;10;FBN + Relocation;5;20;30;53;102;965.3386740326835;8;18;172;333;796.8957861566124;1;11;24;255;903.498371083264;3;13;61;259;1839.1008385101402;11;21;533;977;1552.664702802939;4;14;512;1701;2059.156475181932;
MULTIBOOT;10;FBN + Relocation;6;4;14;13;44;875.8497712147737;6;16;97;275;833.742848886353;22;32;509;701;798.7364231206221;13;23;278;470;1892.7367923498093;4;14;216;683;1494.2532508385448;17;27;1603;2519;2184.1366811352063;
MULTIBOOT;10;FBN + Relocation;7;2;12;7;31;891.6672485289836;15;25;294;432;814.6228176179209;10;20;225;413;845.5990664881754;8;18;199;412;1819.3226896197627;1;11;54;444;1631.921161684034;6;16;679;1621;2062.406142546235;
MULTIBOOT;10;FBN + Relocation;8;4;14;11;34;933.2811888938985;9;19;113;232;804.6862280522782;1;11;26;228;803.0003243122682;12;22;262;436;1893.1520123106075;14;24;580;1036;1510.2384757169305;11;21;901;2050;2125.9484139717333;
MULTIBOOT;10;FBN + Relocation;9;25;35;96;138;923.1675306984664;7;17;101;267;820.4975459912873;24;34;523;740;776.9619809882437;4;14;105;269;1801.841474925485;6;16;331;670;1565.8119776821663;4;14;466;1310;2180.1680269668072;
MULTIBOOT;10;FBN + Relocation;10;7;17;28;52;930.1160016571044;13;23;211;375;808.9209299292955;14;24;459;678;807.5169700115064;18;28;419;632;1907.5596811755497;7;17;367;774;1510.4838196867022;2;12;187;929;2227.7996828220694;
MULTIBOOT;10;FBN + InterrouteSwap;1;2;12;5;26;983.1010399807343;2;12;10;73;873.1192760458058;1;11;12;104;975.6669599217942;2;12;28;128;1762.984787281863;18;28;279;391;1553.2643104803767;1;11;37;375;2233.517459664098;
MULTIBOOT;10;FBN + InterrouteSwap;2;12;22;16;29;931.4690875209913;15;25;66;113;840.885494491938;4;14;38;112;926.0414430237165;13;23;174;288;1799.79622717095;25;35;390;524;1575.3272514719429;6;16;195;513;2196.8456773128205;
MULTIBOOT;10;FBN + InterrouteSwap;3;20;30;24;38;950.5278842187182;5;15;20;72;884.9520598175053;3;13;27;112;901.935789632459;29;39;343;447;1767.2166249595466;29;39;410;580;1561.3526961846858;8;18;252;552;2181.343029873793;
MULTIBOOT;10;FBN + InterrouteSwap;4;11;21;14;28;934.7118539017675;8;18;35;89;886.1416519648682;16;26;155;246;952.7692632018498;4;14;45;151;1830.3192775892658;16;26;264;399;1548.2389455965313;10;20;346;613;2165.01143342776;
MULTIBOOT;10;FBN + InterrouteSwap;5;7;17;11;25;982.2395062994023;4;14;17;64;869.1992415699091;12;22;114;208;928.6472884532736;2;12;24;185;1841.8767212422995;8;18;120;302;1559.7239318733662;12;22;497;806;2098.922507365335;
MULTIBOOT;10;FBN + InterrouteSwap;6;3;13;5;22;967.7389360672416;35;45;152;202;844.8583592452594;6;16;57;131;893.4505290331831;3;13;42;176;1797.2258478062288;15;25;261;365;1531.3491004706057;15;25;473;742;2152.8933947884584;
MULTIBOOT;10;FBN + InterrouteSwap;7;10;20;15;27;961.5334394170691;10;20;50;95;851.6993265062728;6;16;62;159;882.4906443541763;6;16;90;222;1764.7699954869875;6;16;67;232;1627.3959784520218;28;38;717;1001;2154.4963228677884;
MULTIBOOT;10;FBN + InterrouteSwap;8;3;13;4;17;963.102590769079;7;17;27;72;863.4862037313485;4;14;43;135;955.1752493816257;10;20;126;245;1801.8112751755702;4;14;50;224;1582.7335188090979;3;13;113;509;2229.0052763416984;
MULTIBOOT;10;FBN + InterrouteSwap;9;2;12;3;21;907.5244299418505;3;13;20;66;799.4973898435596;13;23;108;190;954.9273709978902;8;18;109;216;1809.0413781936525;2;12;43;181;1515.4256766192666;1;11;52;369;2152.88887742149;
MULTIBOOT;10;FBN + InterrouteSwap;10;1;11;3;15;895.2639674542188;9;19;46;96;885.3984587569303;1;11;11;133;929.1458509143237;11;21;165;285;1756.1516145551077;10;20;153;337;1557.2398744822035;26;36;754;992;2146.519631988304;
MULTIBOOT;10;FBN + IntrarouteSwap;1;31;41;9;11;1330.632277487237;2;12;2;9;1173.8159647960317;18;28;14;23;1616.3521884361937;12;22;10;20;2425.209947657629;16;26;26;41;2286.812312643396;9;19;30;68;3076.7415831504986;
MULTIBOOT;10;FBN + IntrarouteSwap;2;12;22;5;9;1344.6921197843149;11;21;8;16;1226.9383214713214;15;25;15;23;1596.8911729833549;19;29;20;33;2403.823618110687;6;16;12;29;2373.896783376241;12;22;40;68;3065.8192642855975;
MULTIBOOT;10;FBN + IntrarouteSwap;3;7;17;3;7;1291.691933121931;9;19;6;16;1184.3659030668284;11;21;15;28;1633.625790530039;6;16;8;17;2274.320525495629;2;12;3;23;2294.025507487992;10;20;26;56;3131.4364925776904;
MULTIBOOT;10;FBN + IntrarouteSwap;4;6;16;3;7;1229.0575301268068;1;11;1;10;1234.4617671844471;5;15;6;18;1637.6637580290699;7;17;6;16;2368.172021287884;24;34;37;56;2249.706763290391;6;16;20;53;3159.9556954908203;
MULTIBOOT;10;FBN + IntrarouteSwap;5;3;13;1;5;1339.33193692332;1;11;0;6;1192.1557193311;7;17;6;17;1653.3408299156167;5;15;7;16;2412.411466282413;24;34;46;68;2294.4497492785545;18;28;52;86;3121.231572897453;
MULTIBOOT;10;FBN + IntrarouteSwap;6;10;20;4;7;1260.2474965803133;12;22;13;23;1163.3235514102037;15;25;20;33;1660.7626423822949;5;15;7;19;2456.3825087673417;17;27;30;54;2374.3662179087105;8;18;28;70;3123.6410874964704;
MULTIBOOT;10;FBN + IntrarouteSwap;7;16;26;4;7;1342.851496703073;9;19;8;15;1155.187628659309;10;20;14;28;1670.4534201242154;3;13;4;17;2489.6763978936815;17;27;40;63;2222.1107980915076;8;18;20;50;3158.534414536716;
MULTIBOOT;10;FBN + IntrarouteSwap;8;10;20;3;6;1290.5548602566857;4;14;3;13;1216.863289898497;13;23;27;39;1617.681384684027;13;23;16;26;2399.6931123664817;12;22;17;32;2310.127083416237;10;20;26;56;3125.347372383394;
MULTIBOOT;10;FBN + IntrarouteSwap;9;7;17;3;7;1258.0411857882814;2;12;2;12;1210.0942343221366;3;13;4;16;1675.6430798776678;9;19;10;20;2407.836326137125;4;14;8;25;2291.3441944888236;5;15;14;47;3068.290635410374;
MULTIBOOT;10;FBN + IntrarouteSwap;10;10;20;3;6;1276.3505735881868;1;11;0;10;1188.5482113807157;2;12;3;17;1665.004634970978;13;23;22;32;2388.4916816923824;3;13;9;26;2293.082591976433;15;25;55;93;3062.05496996451;
MULTIBOOT;10;FBN + TwoOpt;1;6;16;3;6;1228.7810680470932;7;17;5;11;1134.52327539736;6;16;4;10;1574.375794881355;18;28;12;22;2318.3678428002836;14;24;17;34;2173.144483890416;3;13;7;28;2982.1772457629245;
MULTIBOOT;10;FBN + TwoOpt;2;1;11;0;4;1272.144110467156;6;16;4;9;1104.8833260400559;1;11;0;6;1555.1985430323655;12;22;8;13;2322.457904311014;18;28;20;36;2244.2042124883765;6;16;16;39;2976.5124687254706;
MULTIBOOT;10;FBN + TwoOpt;3;12;22;3;5;1288.5254879021215;3;13;1;8;1127.5598070386554;9;19;10;18;1555.4559655310245;2;12;1;7;2340.1750834227946;10;20;10;21;2179.5872678591973;7;17;20;45;2938.001807928174;
MULTIBOOT;10;FBN + TwoOpt;4;2;12;0;4;1219.4327099729412;6;16;3;10;1152.6551265977594;17;27;15;24;1532.8291820218053;3;13;2;8;2293.1641801608794;7;17;8;17;2171.7193924833023;9;19;20;50;2892.037027300696;
MULTIBOOT;10;FBN + TwoOpt;5;16;26;4;7;1233.9983805288382;5;15;2;10;1127.2558705715396;7;17;7;16;1572.342390570099;20;30;14;22;2295.5949215558257;14;24;17;28;2189.438995469231;11;21;22;49;2950.1279905256692;
MULTIBOOT;10;FBN + TwoOpt;6;22;32;7;11;1281.2426097916752;18;28;12;18;1137.261346103796;1;11;1;9;1530.2961371938427;20;30;14;20;2315.4063873239047;1;11;1;10;2188.6451113559506;10;20;20;44;2962.450601899431;
MULTIBOOT;10;FBN + TwoOpt;7;14;24;3;5;1184.1273455767473;17;27;10;15;1129.7551305884356;10;20;11;22;1536.3789336089924;5;15;4;11;2293.4567011739896;12;22;13;23;2127.7807256121187;6;16;14;36;2976.9616964916027;
MULTIBOOT;10;FBN + TwoOpt;8;12;22;2;5;1195.4231566247984;10;20;4;8;1139.5074403398585;20;30;21;29;1548.2638927309827;15;25;10;15;2360.112803308513;10;20;15;25;2181.194361079265;1;11;2;22;3061.7015850640923;
MULTIBOOT;10;FBN + TwoOpt;9;6;16;1;3;1184.6755139731654;1;11;1;6;1087.1615511199934;2;12;2;12;1532.363840758498;4;14;3;11;2400.30537408061;7;17;10;22;2165.0824720185806;18;28;41;58;2853.6735323440857;
MULTIBOOT;10;FBN + TwoOpt;10;3;13;1;2;1343.8892792176343;16;26;11;18;1127.6340763824849;4;14;3;12;1486.8220055821755;14;24;11;18;2331.574660317634;17;27;22;35;2134.4658972524267;4;14;7;24;3070.2224823983875;
