;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
MULTIBOOT;50;BN + Interroute;1;7;57;15;124;942.7319758179725;28;78;179;499;846.9321233265695;48;98;498;1022;952.3311669999288;33;83;629;1467;1757.4070359364196;23;73;510;1682;1586.6231322794276;58;108;3334;6047;2147.400479940438;
MULTIBOOT;50;BN + Interroute;2;62;112;136;242;935.7342198823092;7;57;43;351;847.5415903884327;36;86;386;887;901.9405482286224;33;83;630;1547;1747.9832478613673;97;147;2269;3393;1559.6528170137976;23;73;1271;4084;2184.7633491287543;
MULTIBOOT;50;BN + Interroute;3;68;118;151;263;926.5419826363554;61;111;387;694;813.4816945265678;5;55;57;577;938.5307617930937;53;103;909;1830;1748.1821104156058;25;75;611;1731;1559.7213671584984;18;68;1029;3814;2122.6508744955754;
MULTIBOOT;50;BN + Interroute;4;2;52;5;113;876.1804610209552;21;71;137;440;854.4706558759547;65;115;690;1200;882.8239977741534;43;93;775;1713;1794.2411920295046;43;93;965;2099;1578.6719746539322;17;67;945;3694;2171.3351762765524;
MULTIBOOT;50;BN + Interroute;5;4;54;10;120;969.9582841928541;5;55;30;362;864.5152681407883;60;110;637;1166;957.2846685841005;42;92;804;1726;1745.593493477958;103;153;2340;3412;1540.2539391457708;5;55;299;3055;2097.3641554502415;
MULTIBOOT;50;BN + Interroute;6;13;63;30;139;936.8472707854002;8;58;50;383;855.4443198534301;101;151;1078;1619;892.4244573292506;36;86;661;1545;1780.8898083342403;16;66;392;1507;1551.3378166388097;6;56;335;3160;2181.45541387178;
MULTIBOOT;50;BN + Interroute;7;33;83;65;174;930.7344100844534;9;59;61;381;830.6590414941775;52;102;537;1064;944.8393884455177;65;115;1194;2151;1738.3407274130113;85;135;1927;3059;1554.143867157978;36;86;2029;4762;2162.9494814500035;
MULTIBOOT;50;BN + Interroute;8;2;52;5;112;965.0020254061213;22;72;138;443;852.0863699464256;70;120;717;1237;935.873570548249;15;65;281;1154;1765.7803211733467;64;114;1486;2610;1552.2714362368313;34;84;1957;4746;2155.971480845832;
MULTIBOOT;50;BN + Interroute;9;1;51;2;107;920.5597253731144;44;94;292;604;839.7273054362518;50;100;526;1042;925.7874735497439;48;98;833;1739;1750.174576654766;64;114;1449;2626;1525.6186779778016;52;102;2957;5667;2161.9218694042497;
MULTIBOOT;50;BN + Interroute;10;19;69;40;144;923.8626878083967;72;122;449;760;828.2244534048414;10;60;105;626;918.8542540728093;23;73;412;1311;1734.4513545815241;39;89;915;2013;1548.8872697676788;39;89;2169;4944;2155.374843788687;
MULTIBOOT;50;BN + IntrarouteSwap;1;48;98;17;32;1248.6607216672523;55;105;41;79;1149.3459917234525;68;118;72;125;1480.0400553057414;106;156;113;167;2311.486029909962;82;132;142;227;2196.324553298947;39;89;115;256;3020.5041275623535;
MULTIBOOT;50;BN + IntrarouteSwap;2;17;67;6;23;1284.5047094759552;42;92;29;67;1142.2903219367083;3;53;3;55;1573.720290843035;8;58;9;61;2375.247363735926;62;112;105;191;2197.7187775503494;48;98;139;282;2974.1642526269334;
MULTIBOOT;50;BN + IntrarouteSwap;3;46;96;15;31;1213.0787002672457;27;77;20;56;1163.925088564227;83;133;85;138;1409.7405159338416;26;76;27;79;2361.4677407915256;10;60;18;100;2212.712226611053;62;112;182;323;2941.2898525898863;
MULTIBOOT;50;BN + IntrarouteSwap;4;94;144;31;47;1233.3574699273722;58;108;43;88;1148.3836295185495;15;65;19;84;1504.122773850294;35;85;40;97;2368.497470803854;2;52;6;104;2259.9710094956695;127;177;390;532;2920.0551566120016;
MULTIBOOT;50;BN + IntrarouteSwap;5;57;107;18;35;1230.9497128984294;24;74;18;56;1159.6079082490585;43;93;45;96;1492.9431182156106;67;117;74;127;2315.6783900385935;67;117;115;200;2274.9744428004424;95;145;274;416;2858.7519173261476;
MULTIBOOT;50;BN + IntrarouteSwap;6;27;77;10;26;1274.1484974087343;9;59;6;43;1164.3904548354292;8;58;8;61;1572.7173519507387;40;90;42;93;2300.1048762199066;20;70;34;122;2153.7867246869846;11;61;34;181;2991.222523340821;
MULTIBOOT;50;BN + IntrarouteSwap;7;31;81;11;27;1204.7912667729902;40;90;30;68;1140.0840184827694;29;79;30;82;1574.3044914888803;19;69;22;73;2367.3085397378086;34;84;61;143;2222.1415218579286;18;68;52;199;3038.1790011849384;
MULTIBOOT;50;BN + IntrarouteSwap;8;59;109;18;35;1283.6941396547238;28;78;20;56;1114.882529701517;1;51;1;53;1613.7399405446895;2;52;2;57;2384.162863155939;6;56;9;92;2262.358336409491;10;60;29;173;2918.9295080267757;
MULTIBOOT;50;BN + IntrarouteSwap;9;27;77;9;26;1252.586179347674;26;76;19;55;1162.6489301659337;1;51;2;54;1563.9555601641375;55;105;61;115;2339.4744158936965;33;83;57;141;2211.269196063728;10;60;29;171;3040.3941152626307;
MULTIBOOT;50;BN + IntrarouteSwap;10;26;76;9;26;1254.2626637671149;14;64;10;47;1169.7062032539245;11;61;12;63;1523.4415552682265;8;58;9;71;2351.547021206728;12;62;19;109;2205.35868954322;43;93;174;319;3055.1697748996075;
MULTIBOOT;50;BN + TwoOpt;1;36;86;9;22;1142.4580032333195;52;102;29;58;1123.1878491628981;75;125;62;104;1500.6217377866967;43;93;36;79;2301.9558072320997;43;93;54;120;2127.732740068821;67;117;149;255;2940.987220626752;
MULTIBOOT;50;BN + TwoOpt;2;88;138;22;36;1130.5626907679693;103;153;58;86;1124.22389646242;42;92;34;75;1455.3897312579193;69;119;57;99;2266.5485032345823;2;52;2;67;2107.3118312902243;42;92;95;206;2848.2304910775947;
MULTIBOOT;50;BN + TwoOpt;3;45;95;13;26;1173.1017590977763;7;57;4;32;1110.769108082232;62;112;50;90;1410.5057573577567;53;103;44;87;2277.885553330297;63;113;80;144;2125.9540625051113;53;103;116;226;2896.978345246855;
MULTIBOOT;50;BN + TwoOpt;4;1;51;0;13;1257.896050543109;18;68;10;37;1119.0428253032087;93;143;76;118;1467.3364483739128;8;58;6;46;2259.9599530666983;23;73;31;96;2166.929696363878;31;81;68;178;2883.3336771782583;
MULTIBOOT;50;BN + TwoOpt;5;26;76;8;20;1228.3224674936762;35;85;20;48;1110.2920450770243;3;53;2;44;1528.162745508204;55;105;46;87;2320.9226995686117;36;86;48;113;2123.7461344502435;72;122;161;273;2869.6830784116223;
MULTIBOOT;50;BN + TwoOpt;6;28;78;7;20;1210.4168867417648;44;94;24;52;1120.5847932098534;68;118;55;96;1455.097972416246;18;68;16;55;2280.975772427163;5;55;7;72;2134.862002046559;43;93;94;207;2872.2603444527563;
MULTIBOOT;50;BN + TwoOpt;7;115;165;30;43;1168.4405470729016;78;128;44;72;1108.1082251520731;97;147;80;121;1447.9665024651108;11;61;11;53;2290.1595030200774;8;58;12;77;2119.4101385028885;7;57;16;130;2860.344043410724;
MULTIBOOT;50;BN + TwoOpt;8;26;76;7;20;1215.7915128262052;15;65;9;37;1108.8028200421727;28;78;23;64;1439.7054409081345;19;69;15;65;2325.00855318121;4;54;6;84;2136.8596242613357;6;56;13;159;2890.560831835302;
MULTIBOOT;50;BN + TwoOpt;9;41;91;10;23;1204.6166355825146;6;56;4;31;1087.0754192662569;48;98;41;82;1510.88159712432;37;87;37;90;2257.2520519348077;13;63;17;96;2168.135687644955;78;128;201;310;2893.2359004629693;
MULTIBOOT;50;BN + TwoOpt;10;18;68;5;19;1201.948577757402;10;60;5;34;1054.8184150442667;39;89;34;74;1496.858324895071;13;63;11;53;2282.3779261153604;26;76;34;103;2173.300014827304;51;101;118;225;2847.2222925445903;
MULTIBOOT;50;FBN + Relocation;1;10;60;25;156;889.6980851198663;52;102;564;1144;807.302620977767;20;70;351;1309;815.3305019911002;77;127;1532;2505;1750.7543822386222;68;118;2580;4448;1466.9445955141462;24;74;2134;6268;2071.3400626093717;
MULTIBOOT;50;FBN + Relocation;2;12;62;33;175;887.9554822668183;20;70;216;796;817.934471950333;25;75;510;1484;810.3404804779041;15;65;346;1352;1730.5169576893757;25;75;999;2891;1522.8683686929933;8;58;794;5080;2039.2335269555633;
MULTIBOOT;50;FBN + Relocation;3;1;51;4;142;905.6137078545585;61;111;692;1220;781.6231975800953;3;53;59;1016;795.8031121008014;20;70;372;1488;1794.918268844125;25;75;1047;3205;1459.8722270761916;72;122;6509;10935;2092.212661329852;
MULTIBOOT;50;FBN + Relocation;4;76;126;222;351;858.4937406208692;45;95;478;1072;796.8915917179698;39;89;758;1682;807.7272809952133;26;76;563;1550;1806.9449722943173;30;80;1190;3229;1525.0358646065938;72;122;5848;10219;2050.2901482693333;
MULTIBOOT;50;FBN + Relocation;5;14;64;38;177;893.8872188629695;84;134;991;1527;795.6976219847936;7;57;169;1190;773.9906094411065;54;104;1089;2033;1753.969735929878;68;118;2861;4812;1477.379793122383;45;95;3945;8952;2113.31239919243;
MULTIBOOT;50;FBN + Relocation;6;44;94;127;274;870.5615916846124;9;59;158;843;793.8492004364548;28;78;786;1823;783.3269355712546;14;64;360;1592;1826.750298333664;46;96;2168;4376;1502.7275594926512;27;77;2507;7647;1999.6679075099848;
MULTIBOOT;50;FBN + Relocation;7;9;59;24;159;844.6263948693078;80;130;937;1463;814.4814473293873;29;79;664;1573;795.5527749463209;9;59;224;1252;1743.4668019061219;100;150;4294;6301;1515.4397982938467;16;66;1399;5829;2088.9643978431254;
MULTIBOOT;50;FBN + Relocation;8;13;63;37;205;914.5259772624913;2;52;34;533;817.0488704239048;52;102;1117;2108;795.4585799732386;16;66;399;1384;1768.3140061574263;5;55;293;2092;1579.8822881029066;134;184;13156;18099;2027.0277902753867;
MULTIBOOT;50;FBN + Relocation;9;9;59;36;174;897.5994056913212;30;80;390;955;800.6766387079023;34;84;602;1672;781.1438601012696;58;108;1294;2500;1789.056616388;26;76;1410;3722;1475.89438328309;5;55;586;5383;2100.2612843797842;
MULTIBOOT;50;FBN + Relocation;10;27;77;84;243;866.242968664943;29;79;422;1104;789.2286148680192;12;62;298;1345;816.152769269047;29;79;675;1768;1831.8051991180105;52;102;2198;4430;1512.8480096774258;18;68;1969;7141;2053.8913832212274;
MULTIBOOT;50;FBN + InterrouteSwap;1;43;93;63;140;886.0536666849164;25;75;113;379;825.9938100388486;46;96;410;833;862.367631686671;3;53;42;591;1736.6775248356357;43;93;539;1313;1492.9027706652591;32;82;964;2623;2166.0749713744954;
MULTIBOOT;50;FBN + InterrouteSwap;2;36;86;49;123;917.5475593581849;38;88;199;460;830.3690897132209;36;86;311;718;871.1471623184202;47;97;547;1113;1738.2038551290243;32;82;457;1153;1577.7002793842448;51;101;1792;3306;2110.757364917281;
MULTIBOOT;50;FBN + InterrouteSwap;3;103;153;141;215;898.5455902358422;92;142;398;633;844.4299246207714;6;56;50;453;957.9705886390232;68;118;847;1429;1708.0440367473132;81;131;1116;1791;1523.335635110109;61;111;1865;3415;2114.8569735870874;
MULTIBOOT;50;FBN + InterrouteSwap;4;46;96;67;148;895.2233194440876;3;53;13;291;828.5506893735762;44;94;373;763;915.7160573254208;3;53;37;665;1771.0166665933311;70;120;986;1714;1557.132548906952;66;116;2053;3539;2058.3118337518276;
MULTIBOOT;50;FBN + InterrouteSwap;5;2;52;4;75;949.8176248263471;13;63;65;329;826.8737219834927;28;78;245;625;959.9428556855873;7;57;115;665;1726.6990199446823;103;153;1475;2162;1543.0321820176935;1;51;30;1502;2161.8833991226825;
MULTIBOOT;50;FBN + InterrouteSwap;6;11;61;13;81;928.838709938893;64;114;321;545;834.1194655071406;64;114;495;882;884.8519612511654;14;64;170;682;1769.9558874436643;41;91;530;1149;1555.9587594107545;121;171;3788;5475;2110.5168806459587;
MULTIBOOT;50;FBN + InterrouteSwap;7;30;80;48;149;898.2904818723066;19;69;92;352;844.7437221716447;4;54;32;466;912.9572213344846;129;179;1564;2142;1706.6160920129987;65;115;952;1687;1507.569977732149;92;142;2922;4544;2141.7438325561725;
MULTIBOOT;50;FBN + InterrouteSwap;8;73;123;148;245;931.2916532152674;5;55;34;312;888.9951328090494;75;125;631;1024;837.819874795059;16;66;188;790;1771.344203841712;40;90;570;1266;1525.8990556451347;21;71;749;2413;2141.499883576196;
MULTIBOOT;50;FBN + InterrouteSwap;9;51;101;84;174;914.4304500185978;31;81;172;408;824.092120480469;90;140;770;1207;922.577140825296;17;67;181;940;1741.759550041504;25;75;389;1092;1522.091775548861;39;89;1224;2715;2115.3374388261627;
MULTIBOOT;50;FBN + InterrouteSwap;10;50;100;68;156;933.7405597887338;12;62;58;296;835.5048971813281;6;56;44;445;921.6105094929466;19;69;186;746;1793.2719046900133;52;102;740;1400;1569.7743909674837;17;67;555;2112;2147.282557148752;
MULTIBOOT;50;FBN + IntrarouteSwap;1;9;59;3;16;1284.2508572625904;2;52;2;32;1171.090272295911;29;79;26;70;1547.8570821496805;7;57;7;50;2357.023611587828;17;67;28;115;2289.2412317433973;87;137;223;346;3014.14541039468;
MULTIBOOT;50;FBN + IntrarouteSwap;2;28;78;8;21;1217.343837154193;39;89;22;51;1139.1823857252284;21;71;22;74;1576.4010932597514;19;69;17;58;2410.4201695721395;26;76;38;111;2228.8711725151816;27;77;82;207;3090.033770141475;
MULTIBOOT;50;FBN + IntrarouteSwap;3;14;64;3;16;1288.6591595418458;38;88;23;60;1147.4591093255385;112;162;105;149;1577.2801943652655;37;87;29;70;2361.5542176048198;35;85;66;142;2276.7019219549397;16;66;40;169;3018.2150046011775;
MULTIBOOT;50;FBN + IntrarouteSwap;4;6;56;1;15;1303.7650042382948;87;137;52;84;1142.7627737891414;102;152;92;146;1616.6635597846955;35;85;29;71;2333.992895728047;64;114;87;169;2243.531047132935;98;148;247;366;2988.7786433236297;
MULTIBOOT;50;FBN + IntrarouteSwap;5;79;129;21;35;1236.5255820546763;18;68;10;42;1131.7392133497488;10;60;8;57;1622.5373806653843;43;93;37;80;2357.42115928762;116;166;173;244;2284.1730920376;19;69;47;174;2960.898275561392;
MULTIBOOT;50;FBN + IntrarouteSwap;6;8;58;3;17;1290.6571971905844;79;129;49;81;1166.5385303011838;6;56;7;60;1566.9086372091824;134;184;135;181;2334.0390412742695;71;121;99;178;2283.766596794064;90;140;215;340;3020.3736387701692;
MULTIBOOT;50;FBN + IntrarouteSwap;7;26;76;6;20;1283.9627608136154;3;53;2;31;1155.683022222808;58;108;51;108;1606.8646957994092;118;168;98;137;2321.4801584188867;114;164;169;241;2164.1494457348504;18;68;42;166;3079.5569573267258;
MULTIBOOT;50;FBN + IntrarouteSwap;8;52;102;14;32;1263.4170920927124;21;71;13;45;1146.7431470859694;77;127;70;117;1572.5511858783234;26;76;24;64;2387.735530331113;61;111;84;159;2219.345348678311;1;51;2;130;2881.7749443348894;
MULTIBOOT;50;FBN + IntrarouteSwap;9;31;81;9;22;1204.53094318905;22;72;12;43;1147.9885130848131;65;115;57;114;1561.1489260677488;120;170;103;145;2346.647028978216;60;110;128;211;2149.6866764368237;92;142;254;380;3005.4799962426414;
MULTIBOOT;50;FBN + IntrarouteSwap;10;47;97;12;26;1054.5017217824882;19;69;12;42;1128.9349617484345;16;66;15;59;1601.5784313644913;19;69;16;57;2368.660338025635;1;51;2;91;2279.6612465281573;37;87;91;216;3140.251831626262;
MULTIBOOT;50;FBN + TwoOpt;1;115;165;23;32;1221.605520234256;22;72;9;29;1112.6174161815486;58;108;36;66;1516.6484941487176;38;88;22;50;2289.7650369014355;11;61;11;58;2125.163630390598;27;77;75;158;2939.7913467590415;
MULTIBOOT;50;FBN + TwoOpt;2;29;79;6;16;1172.3936273685758;34;84;14;34;1130.2645529839178;13;63;9;41;1504.122819165305;22;72;35;63;2295.3126319841613;7;57;6;55;2099.216222941581;10;60;16;98;2940.4824851488092;
MULTIBOOT;50;FBN + TwoOpt;3;125;175;24;34;1196.6559111691095;39;89;46;67;1117.417488057558;58;108;36;68;1498.584384031376;3;53;2;31;2302.9037522620365;21;71;21;69;2133.349681329999;111;161;235;331;2875.0109779818576;
MULTIBOOT;50;FBN + TwoOpt;4;6;56;1;10;1204.2162082367893;3;53;1;22;1140.4299438978467;12;62;7;37;1569.573706328915;29;79;17;45;2340.4128932116046;34;84;35;90;2151.372984902142;37;87;66;150;2880.107793660152;
MULTIBOOT;50;FBN + TwoOpt;5;43;93;8;17;1217.9955180073348;14;64;7;29;1068.2280071554374;13;63;8;41;1504.6664434715394;32;82;41;69;2330.18201973173;93;143;91;140;2161.200282018664;32;82;70;150;2894.388611752776;
MULTIBOOT;50;FBN + TwoOpt;6;2;52;1;11;1237.0256530436388;71;121;31;52;1112.72936550743;85;135;54;107;1483.4998591922295;60;110;46;74;2276.6750629239737;7;57;7;56;2116.832813668893;7;57;13;123;2860.5654335986674;
MULTIBOOT;50;FBN + TwoOpt;7;51;101;14;24;1184.3549504392388;12;62;4;25;1126.6293339951426;25;75;16;46;1502.12168031472;67;117;40;69;2293.5651884196195;99;149;128;174;2124.27125395534;52;102;87;200;2925.313315008535;
MULTIBOOT;50;FBN + TwoOpt;8;118;168;22;31;1214.6060165469605;48;98;20;41;1105.309434942291;65;115;39;70;1515.812537519565;28;78;17;82;2336.607372113402;62;112;84;142;2141.8341538172704;24;74;51;209;2936.927123653576;
MULTIBOOT;50;FBN + TwoOpt;9;14;64;3;13;1182.409221085812;32;82;14;35;1109.4496767082883;10;60;6;37;1503.3258271022291;20;70;12;55;2320.0688170012895;23;73;23;71;2172.257796769027;46;96;83;191;2995.605809026798;
MULTIBOOT;50;FBN + TwoOpt;10;95;145;19;28;1181.0097265576283;25;75;11;32;1125.4666186991674;38;88;25;56;1519.922840730001;115;165;68;110;2277.936280995525;27;77;28;75;2090.727108040138;59;109;98;201;2967.6027945240517;
